연도,월,상하수도사용량,평균기온,최저기온,최고기온
2015,1,899,-0.9354838709677419,-4.806451612903226,3.583870967741935
2015,2,820,1.042857142857143,-2.8857142857142857,5.960714285714286
2015,3,878,6.290322580645161,0.9806451612903226,12.44516129032258
2015,4,733,13.326666666666666,8.403333333333332,18.826666666666664
2015,5,825,18.883870967741935,13.574193548387097,24.887096774193548
2015,6,1317,23.586666666666666,18.926666666666666,29.46333333333333
2015,7,1062,25.835483870967742,22.612903225806452,30.0258064516129
2015,8,1086,26.26774193548387,22.809677419354838,30.787096774193547
2015,9,1128,22.39,17.516666666666666,28.076666666666664
2015,10,1043,15.506451612903225,10.780645161290321,21.219354838709677
2015,11,820,8.9,5.866666666666666,12.74
2015,12,895,1.5935483870967742,-2.1193548387096777,5.996774193548387
2016,1,805,-3.2,-6.809677419354839,1.1258064516129032
2016,2,793,0.1931034482758621,-4.075862068965518,5.075862068965517
2016,3,664,7.04516129032258,2.3548387096774195,12.612903225806452
2016,4,779,14.066666666666666,9.05,20.316666666666666
2016,5,851,19.55806451612903,14.141935483870967,25.687096774193545
2016,6,930,23.596666666666668,19.46333333333333,28.68
2016,7,1031,26.23548387096774,23.287096774193547,29.822580645161292
2016,8,1042,27.996774193548386,24.451612903225808,32.63548387096775
2016,9,1146,23.083333333333332,19.256666666666668,27.89
2016,10,860,16.080645161290324,11.619354838709677,21.309677419354838
2016,11,766,6.7733333333333325,2.8233333333333333,11.606666666666666
2016,12,854,1.2451612903225806,-2.670967741935484,5.800000000000001
2017,1,705,-1.8290322580645162,-5.767741935483872,2.916129032258065
2017,2,710,-0.24642857142857139,-4.757142857142857,4.803571428571429
2017,3,807,6.325806451612903,1.7129032258064516,12.30967741935484
2017,4,638,13.933333333333334,9.073333333333332,19.95
2017,5,1034,19.490322580645163,14.361290322580645,25.43548387096774
2017,6,577,23.273333333333333,18.706666666666667,28.75
2017,7,931,26.92258064516129,24.309677419354838,30.393548387096775
2017,8,1319,25.916129032258063,22.893548387096775,29.654838709677417
2017,9,1271,22.103333333333335,17.483333333333334,27.433333333333334
2017,10,813,16.576666666666668,11.726666666666667,22.529999999999998
2017,11,603,5.626666666666667,1.2866666666666666,10.46
2017,12,921,-1.929032258064516,-5.748387096774193,2.158064516129032
2018,1,672,-3.97741935483871,-7.329032258064516,0.14193548387096777
2018,2,662,-1.6464285714285711,-5.871428571428572,3.2821428571428575
2018,3,734,8.080645161290322,3.8225806451612905,13.596774193548388
2018,4,645,12.986666666666668,8.086666666666666,18.513333333333332
2018,5,809,18.16774193548387,13.390322580645162,23.29032258064516
2018,6,849,23.136666666666667,18.866666666666667,28.37
2018,7,704,27.796774193548387,24.212903225806453,32.13225806451613
2018,8,1120,28.761290322580646,25.203225806451613,33.303225806451614
2018,9,1542,21.496666666666666,17.626666666666665,26.040000000000003
2018,10,1072,13.05483870967742,8.496774193548386,18.612903225806452
2018,11,665,7.793333333333334,3.6266666666666665,13.153333333333334
2018,12,965,-0.6064516129032258,-4.693548387096774,4.087096774193548
2019,1,694,-0.8967741935483872,-5.064516129032258,4.087096774193548
2019,2,751,0.9857142857142857,-3.2178571428571425,6.046428571428572
2019,3,749,7.093548387096774,2.7451612903225806,12.44516129032258
2019,4,728,12.120000000000001,7.176666666666667,17.64
2019,5,904,19.419354838709676,13.729032258064517,25.641935483870967
2019,6,906,22.503333333333334,18.06,27.706666666666667
2019,7,1018,25.87741935483871,22.683870967741935,30.08709677419355
2019,8,943,27.190322580645162,23.59032258064516,31.635483870967743
2019,9,1547,22.64333333333333,18.96333333333333,27.1
2019,10,971,16.370967741935484,11.8,21.76774193548387
2019,11,919,7.58,3.1,12.933333333333334
2019,12,817,1.4161290322580644,-2.603225806451613,5.274193548387097
2020,1,728,1.6258064516129032,-1.6806451612903226,5.9
2020,2,726,2.5344827586206895,-1.306896551724138,7.213793103448276
2020,3,735,7.735483870967743,2.551612903225806,13.274193548387096
2020,4,782,11.123333333333333,6.27,16.616666666666667
2020,5,715,18.006451612903227,13.693548387096774,23.299999999999997
2020,6,726,23.886666666666667,19.903333333333332,28.959999999999997
2020,7,902,24.14516129032258,21.129032258064516,27.9741935483871
2020,8,1395,26.519354838709678,24.416129032258063,29.325806451612905
2020,9,1109,21.39333333333333,17.956666666666667,25.573333333333334
2020,10,1302,14.290322580645162,9.596774193548388,19.490322580645163
2020,11,622,8.026666666666667,4.03,12.55
2020,12,798,-0.3516129032258065,-4.232258064516128,3.935483870967742
2021,1,932,-2.370967741935484,-6.803225806451613,2.2225806451612904
2021,2,707,2.732142857142857,-2.1714285714285713,7.867857142857143
2021,3,740,9.016129032258064,4.251612903225807,14.8
